emotion,local_pc,attr,n,rho_raw,rho_partial_intensity_and_judgeEI,abs_drop_ratio_vs_raw,sign_stable
disgust,PC1,surprise_valence,108,0.47090908277136584,0.21378630882103677,0.5460136220714317,True
disgust,PC2,valence,108,-0.30095385293136906,-0.19915746765267003,0.33824582834602607,True
disgust,PC2,arousal,108,0.22327457633523215,0.07993772036347241,0.641975715840342,True
disgust,PC2,dominance,108,-0.30869904701059314,-0.21637800583720623,0.2990648726240443,True
disgust,PC2,emotional_intensity,108,0.23778335342909174,,,False
disgust,PC2,threat,108,0.21473482174939404,0.12425412038456934,0.42136017171178725,True
disgust,PC2,social_warmth,108,-0.37888675386717086,-0.3097371675668574,0.18250726792247735,True
disgust,PC2,certainty,108,-0.30985874734246166,-0.2817851859034969,0.09060115836567736,True
disgust,PC2,agency,108,-0.36687751665960294,-0.2982215133194509,0.18713603375115678,True
disgust,PC2,blame,108,0.3972105223811516,0.3361385614496228,0.1537521225908662,True
disgust,PC2,injustice,108,0.41285760747346417,0.3549257372844125,0.14031925085157876,True
disgust,PC2,relief,108,-0.2154577188791495,-0.2015061221330614,0.06475329275120359,True
disgust,PC2,gratitude,108,-0.2449776904414283,-0.19089404625076692,0.2207696712839745,True
disgust,PC2,loneliness,108,0.05970575187680882,0.03900386434530598,0.3467318789355028,True
disgust,PC2,disappointment,108,0.3774454695178308,0.29867423606394766,0.20869566550768187,True
disgust,PC2,uncertainty,108,0.21671838148495523,0.17171665294592003,0.20765072270604445,True
disgust,PC2,hope,108,-0.23300451961394752,-0.17125575798594725,0.26501100377927617,True
disgust,PC2,surprise_valence,108,-0.33328569286818044,-0.23524557784824793,0.2941623871586617,True
disgust,PC3,valence,108,-0.034368634298250454,-0.04919905317026273,-0.4315102760067257,True
disgust,PC3,arousal,108,0.0019477535629261603,-0.058155872749633575,-28.85792138008697,False
disgust,PC3,dominance,108,-0.07450386835865865,-0.10216215655196055,-0.37123291451332446,True
disgust,PC3,emotional_intensity,108,-0.009760433584147372,,,False
disgust,PC3,threat,108,-0.009300597805701274,-0.024582383871795392,-1.6430971842182416,True
disgust,PC3,social_warmth,108,-0.022601455169276915,-0.02717384764759479,-0.2023052252198928,True
disgust,PC3,certainty,108,-0.08816538777706302,-0.06894951069349267,0.2179526180065135,True
disgust,PC3,agency,108,-0.08948982981428154,-0.10461353358811189,-0.16899913437333167,True
disgust,PC3,blame,108,-0.16025934575859044,-0.21558489724250676,-0.3452251175869454,True
disgust,PC3,injustice,108,-0.08956326630819696,-0.1165120825859399,-0.3008913965353734,True
disgust,PC3,relief,108,-0.19072787395442484,-0.22969544187719965,-0.2043097692793779,True
disgust,PC3,gratitude,108,-0.06822359356629938,-0.09946660245570232,-0.4579502083695009,True
disgust,PC3,loneliness,108,0.1540617110196428,0.14465742132559015,0.06104235524720101,True
disgust,PC3,disappointment,108,0.06243509644205893,0.10727110504203034,-0.7181218762363917,True
disgust,PC3,uncertainty,108,0.022349376090018948,0.006215059695844291,0.7219135034995502,True
disgust,PC3,hope,108,0.11806935304059898,0.09011332545813495,0.23677632562999776,True
disgust,PC3,surprise_valence,108,-0.11778111012981902,-0.18943041247419162,-0.6083259214096414,True
fear,PC1,valence,105,-0.0968720474159218,-0.010308326949225623,0.8935882205011457,True
fear,PC1,arousal,105,0.10604897400729556,-0.0805898659066785,0.24006934851501355,False
fear,PC1,dominance,105,-0.11861353719368631,-0.026606214609121083,0.7756898981464883,True
fear,PC1,emotional_intensity,105,0.17628638455269022,,,False
fear,PC1,threat,105,0.18627244893612388,0.1541870901126933,0.1722496214909013,True
fear,PC1,social_warmth,105,0.0075536832983395235,0.0487939667212459,-5.459625694390967,True
fear,PC1,certainty,105,-0.1905893951549473,-0.15978489866393916,0.16162754735626494,True
fear,PC1,agency,105,-0.15895801198191942,-0.1248224204343282,0.2147459641825034,True
fear,PC1,blame,105,0.07827730230060041,0.035807972401337186,0.5425497385713748,True
fear,PC1,injustice,105,0.061133763374120485,0.01892552437855955,0.6904243525342787,True
fear,PC1,relief,105,-0.00869277288482148,0.0003384146012830517,0.9610694302304895,False
fear,PC1,gratitude,105,-0.13393890195187202,-0.07327156823827373,0.4529478204577021,True
fear,PC1,loneliness,105,0.14149593463931961,0.11052898038850967,0.218854020998881,True
fear,PC1,disappointment,105,0.21145576428531315,0.1695345488221794,0.19825052111878247,True
fear,PC1,uncertainty,105,0.36174223862255245,0.32185869586583654,0.11025403864526592,True
fear,PC1,hope,105,0.013079868474669226,-0.000412514162271155,0.9684619028799838,False
fear,PC1,surprise_valence,105,-0.029894065480875604,0.08167938541835607,-1.7322943234539159,False
fear,PC2,valence,105,0.6027212036206243,0.4261157556687473,0.29301349760218354,True
fear,PC2,arousal,105,-0.5743493498806335,-0.3844191950220299,0.3306875073473602,True
fear,PC2,dominance,105,0.6244417463830788,0.4691417938919041,0.2487020661105868,True
fear,PC2,emotional_intensity,105,-0.5021274206646754,,,False
fear,PC2,threat,105,-0.4980949519190889,-0.3092503018889143,0.3791338364353686,True
fear,PC2,social_warmth,105,0.47865975266479327,0.34992952849539793,0.2689388933427738,True
fear,PC2,certainty,105,0.566739775304776,0.39534253720739904,0.30242669663551425,True
fear,PC2,agency,105,0.6055929928918711,0.4485249141794079,0.2593624440111509,True
fear,PC2,blame,105,-0.18409824382740447,-0.10063704295422912,0.4533514233379748,True
fear,PC2,injustice,105,-0.22754540552881697,-0.17872039851750543,0.21457259001930587,True
fear,PC2,relief,105,0.24248154058807647,0.12270406437302389,0.4939653382462153,True
fear,PC2,gratitude,105,0.25564423647671997,0.28271233434208626,-0.10588190149880898,True
fear,PC2,loneliness,105,-0.22493697468793666,-0.019306711742134552,0.9141683497392127,True
fear,PC2,disappointment,105,-0.291068251939862,-0.17522361695680938,0.39799818156391525,True
fear,PC2,uncertainty,105,-0.44638866389527593,-0.30584766105120365,0.3148399908225349,True
fear,PC2,hope,105,0.5335806079489207,0.4155425728201178,0.22121875002643013,True
fear,PC2,surprise_valence,105,0.5343658601340566,0.34386529066597044,0.3564983912338547,True
fear,PC3,valence,105,0.20699738570224507,0.04303988152890186,0.7920752410331767,True
fear,PC3,arousal,105,-0.3050120249799822,-0.16272289723588593,0.4665033378714647,True
fear,PC3,dominance,105,0.2609252957932107,0.11954296795680791,0.5418498325607017,True
fear,PC3,emotional_intensity,105,-0.27886834235362284,,,False
fear,PC3,threat,105,-0.19309888710232825,-0.053139666564960254,0.7248059408193268,True
fear,PC3,social_warmth,105,0.13708575105005924,0.031040447979598394,0.7735691146466167,True
fear,PC3,certainty,105,0.22702164989957507,0.08885595895063433,0.6086013867402492,True
